internet,Percent SLC above,gni ppp,pop density,electricity,Adult literacy,age15to34
0,0,0,0,0,0,0
0,0,0,0,0,1,0
1,1,1,0,1,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,1,1,0,1
0,0,1,1,1,0,1
0,0,1,1,0,0,1
1,1,1,1,1,1,1
0,0,0,0,0,1,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,1,0,0,0
1,1,1,1,1,1,1
0,1,0,0,0,1,0
1,0,0,1,0,0,0
1,1,1,1,1,1,1
0,1,0,1,1,0,1
0,0,0,0,1,0,0
0,0,1,0,0,0,0
0,0,0,0,0,0,0
0,0,1,0,1,0,0
1,0,0,1,0,1,0
1,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,1
1,1,0,1,1,1,1
0,0,0,0,0,0,0
1,1,0,1,1,1,1
0,0,0,1,0,0,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,1,0,0,1,0
1,1,1,1,1,1,1
1,1,1,0,1,1,0
0,0,0,1,0,0,0
1,1,1,1,1,1,1
1,1,1,0,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,0,1,1,1
1,0,1,0,1,1,0
1,1,1,1,1,1,1
1,1,1,1,1,0,1
0,1,0,0,0,0,0
1,1,0,1,1,1,1
0,1,1,0,0,1,1
1,1,1,1,1,1,0
1,1,1,1,1,0,1
0,0,0,1,0,0,0
0,0,0,0,0,0,0
1,1,1,0,1,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
1,1,1,1,1,1,1
0,0,0,0,0,0,1
1,0,1,0,0,1,0
0,1,0,1,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,0
0,0,1,0,1,0,0
0,1,0,1,1,0,0
1,0,1,0,0,0,1
1,1,1,1,1,1,1
1,1,0,0,0,1,1
1,1,1,1,1,1,0
1,1,1,1,1,1,1
0,0,1,0,0,1,1
1,1,1,0,1,1,1
0,0,0,0,0,1,1
